,교과구분,개설대학,개설학과,학년,교과목 번호,강좌번호,교과목명(부제명),학점-강의-실습,수업교시-수업형태-강의실(동-호),담당교수,강의계획서,정원,수강신청인원,비고
2439,전선,음악대학,성악과,1학년,M2183.000100,004,선택실기,1-0-2,"['', '', '']",김승윤 (대표교수),Y,15 (15),8,®
2440,전선,음악대학,성악과,1학년,M2183.000100,006,선택실기,1-0-2,"['', '', '']",이결 (대표교수),Y,15 (15),1,®
2441,전선,음악대학,성악과,1학년,M2183.000100,007,선택실기,1-0-2,"['', '', '']",노경범 (대표교수),Y,15 (15),2,®
2442,전선,음악대학,성악과,1학년,M2183.000100,009,선택실기,1-0-2,"['', '', '']",정규남 (대표교수),Y,15 (15),3,®
2443,전선,음악대학,성악과,1학년,M2183.000100,010,선택실기,1-0-2,"['', '', '']",이현민 (대표교수),Y,15 (15),5,®
2444,전선,음악대학,성악과,1학년,M2183.000100,011,선택실기,1-0-2,"['', '', '']",성이현 (대표교수),Y,15 (15),4,®
2445,전선,음악대학,국악과,1학년,M2183.000100,022,선택실기,1-0-2,"['', '', '']",김보경 (대표교수),Y,10 (10),1,®
2446,전선,음악대학,국악과,1학년,M2183.000100,023,선택실기,1-0-2,"['', '', '']",문양숙 (대표교수),Y,10 (10),2,®
2447,전선,음악대학,국악과,1학년,M2183.000100,024,선택실기,1-0-2,"['', '', '']",백승희 (대표교수),Y,10 (10),2,®
2448,전선,음악대학,국악과,1학년,M2183.000100,025,선택실기,1-0-2,"['', '', '']",허윤재 (대표교수),Y,10 (10),4,®
2449,전선,음악대학,국악과,1학년,M2183.000100,026,선택실기,1-0-2,"['', '', '']",최혜림 (대표교수),Y,3 (3),3,®
